epoch,runtime
1,110.65967392921448
2,107.61987042427063
3,107.99415707588196
4,107.82530307769775
5,107.80676198005676
6,106.79075622558594
7,107.82179975509644
8,107.82746362686157
9,107.72365283966064
10,107.69191837310791
11,106.8677237033844
12,107.76481080055237
13,108.54073357582092
14,108.54376006126404
15,107.98778939247131
16,107.14816069602966
17,107.693119764328
18,108.08557343482971
19,108.39042973518372
20,108.5914306640625
21,107.7550618648529
22,108.76165747642517
23,108.7452986240387
24,108.72164487838745
25,108.64700126647949
26,107.75410413742065
27,108.75618124008179
28,108.76677179336548
29,108.71424293518066
30,108.60805034637451
31,107.6709234714508
32,108.71398115158081
33,108.69021010398865
34,108.68288660049438
35,108.65157270431519
