side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000737,head,0.6844455604323061,0.6724559556528629,0.6570061012733446
C0000737,tail,0.7059613894863326,0.6991351297954267,0.6433664898395824
C0000737,both,0.560991221194442,0.5471154928695784,0.3152889153479065
C0000768,head,0.8318906384683558,0.7976235024405628,0.7349210840886439
C0000768,tail,0.8706430817419175,0.8268152979251666,0.7537751554458201
C0000768,both,0.5793805922130899,0.5833301031908105,0.5168324336016767
C0000786,head,0.8306382595378586,0.8107513918766115,0.7793704329622058
C0000786,tail,0.9013107517679384,0.9085570751918453,0.9729515216137484
C0000786,both,0.6968154587631188,0.6786689377570854,0.5871043249051996
C0000833,head,0.8385284605924418,0.8005166027154129,0.7752282299835368
C0000833,tail,0.8881097342752599,0.8656177013700379,0.9009396209786732
C0000833,both,0.6160948809324984,0.6002412624433311,0.5512828092038758
C0001122,head,0.8029321843417221,0.7740846650930393,0.8866523338031275
C0001122,tail,0.8601593245690946,0.8390186286283509,1.0
C0001122,both,0.5716363060224043,0.5634471623940638,0.5811966448909472
C0001126,head,0.7943114810960805,0.7574990788726212,0.6677895525216755
C0001126,tail,0.8724708058735114,0.8399476136679073,0.8144478338841203
C0001126,both,0.5496589201063706,0.545537680851378,0.2833011870012522
C0001339,head,0.8367161740324509,0.8054639541036883,0.7783923688183179
C0001339,tail,0.8656781160766323,0.8393523176619913,0.8574078670847542
C0001339,both,0.6535690810045535,0.6465352299821243,0.6987488951919103
C0001418,head,0.8324533872858817,0.7963276277488078,0.7412431934133815
C0001418,tail,0.8608106465726786,0.8009328054025844,0.5949160912123539
C0001418,both,0.6063835111098401,0.5791612563426369,0.3575453105953443
C0001430,head,0.8809920596019998,0.8621968639338043,0.8905580081811254
C0001430,tail,0.909788256053328,0.8868288581194446,0.876499588413611
C0001430,both,0.6476815998431528,0.6327195571319525,0.4872897568117524
C0001546,head,0.8279883381924198,0.8041644112329389,0.7061201209242367
C0001546,tail,0.9240941274468972,0.915434919665324,0.8923697506366556
C0001546,both,0.653685964181591,0.6486374492635978,0.5011369406952264
C0001623,head,0.8547921234609547,0.8316398381530574,0.9312048620404896
C0001623,tail,0.8831379659301737,0.8730809545355029,1.0
C0001623,both,0.6140791027154664,0.6090588414427418,0.5390275385675167
C0001818,head,0.8459423305588585,0.8232388089584737,0.759373784117564
C0001818,tail,0.9306629013079668,0.9226481124341288,0.9433619966310504
C0001818,both,0.6765011890606422,0.6544241960930293,0.4964065755582482
C0001824,head,0.8134880775613591,0.7808607772038294,0.7369120569462336
C0001824,tail,0.8469899117826885,0.8168189395311869,0.8536714247220902
C0001824,both,0.5821086994497335,0.5775051317772998,0.5211722893997706
C0001948,head,0.8605300537823696,0.8320019955803192,0.8206358150623775
C0001948,tail,0.872051378552611,0.8207711880997226,0.6380139814218636
C0001948,both,0.6599327416867996,0.6231486876084238,0.4750038519290157
C0001969,head,0.8800054051619296,0.8741501691230755,0.9546952574134996
C0001969,tail,0.8657267690644566,0.8238033577099855,0.7257783856689679
C0001969,both,0.6233502995360569,0.6024938609396865,0.4263785227276367
C0002064,head,0.826198347107438,0.7669985774830226,0.6709213823397406
C0002064,tail,0.888595041322314,0.8643246730376463,0.8223573064923344
C0002064,both,0.54099173553719,0.513371587866954,0.2207852102923978
C0002103,head,0.882154821186057,0.8557067345552127,0.8488920240382701
