epoch,runtime
1,1039.3213052749634
2,1018.6405596733093
3,1038.9362709522247
4,1036.125191450119
5,1014.0489017963409
6,1014.3899171352386
7,1022.4610130786896
8,1021.7584743499756
9,1012.0983853340149
10,1012.8136036396027
11,1019.8595147132874
12,1015.0820517539978
13,1023.7402219772339
14,1013.7800326347351
15,1035.2127346992493
16,1013.9474999904633
17,1023.0483248233795
18,1024.6420481204987
19,1011.0861265659332
20,1028.4403030872345
21,1026.0463588237762
22,1028.5636122226715
23,1002.8979091644287
24,1020.8339900970459
25,1020.5517292022705
26,1011.5791194438934
27,1023.5997326374054
28,1027.5709292888641
29,1030.741830587387
30,1025.2943608760834
31,1006.2342722415924
32,1022.3341822624207
33,1019.6696135997772
34,1021.9539239406586
35,1025.1230521202087
36,1009.3951501846313
37,1020.8038625717163
38,1016.7604379653931
39,1024.6436777114868
40,1029.9657979011536
41,1018.8344914913177
42,1012.9718730449677
43,1023.5196108818054
44,1016.5270664691925
45,1023.9134633541107
