epoch,runtime
1,107.34384274482727
2,107.82640147209167
3,108.13477921485901
4,108.110435962677
5,108.04015564918518
6,107.2540979385376
7,108.22669076919556
8,108.08873248100281
9,107.90934538841248
10,107.82922649383545
11,107.0496551990509
12,107.9517593383789
13,107.89445924758911
14,107.79844331741333
15,107.74253010749817
16,106.99235320091248
17,107.90852093696594
18,107.83163499832153
19,107.76488041877747
20,107.69617533683777
21,106.92625403404236
22,107.8240532875061
23,107.77664804458618
24,107.70110940933228
25,107.67616558074951
26,106.98287343978882
27,107.88012456893921
28,107.82127523422241
29,107.72788667678833
30,107.6645097732544
31,106.98923754692078
32,107.85882830619812
33,107.80417275428772
34,107.72814774513245
35,107.71618270874023
36,107.04067802429199
37,107.90857481956482
38,107.84935069084167
39,107.70677328109741
40,107.63569927215576
