side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000737,head,0.672937190123391,0.6612762428967575,0.685401678844008
C0000737,tail,0.6963832612583093,0.6951848060113721,0.7358530882424732
C0000737,both,0.5511205461049272,0.5426491251543133,0.3149925228041874
C0000768,head,0.8101713023103353,0.775336580648243,0.7359012352239427
C0000768,tail,0.8549090070293436,0.813410161579617,0.7087735071285038
C0000768,both,0.5547111170464617,0.5640460283672311,0.4365717610240529
C0000786,head,0.802261159407234,0.7929702138892354,0.7536680575957899
C0000786,tail,0.8709968019458583,0.8759664872799673,0.933287492494342
C0000786,both,0.6698797351470654,0.6481197050482719,0.5114178637992918
C0000833,head,0.803312503660195,0.7746981978772824,0.7423288820002654
C0000833,tail,0.8660249305376312,0.842683435391622,0.8926683904210897
C0000833,both,0.5944091740213994,0.5763286590739101,0.4555701782803945
C0001122,head,0.7827970820482593,0.763141141779369,0.8771238043486251
C0001122,tail,0.8375335171039611,0.8056731693052896,0.7492082160047269
C0001122,both,0.5474449124493636,0.546828289550338,0.5792486915122458
C0001126,head,0.8052954098739739,0.7768156017622548,0.6805681513544042
C0001126,tail,0.848884264076772,0.8063120837094873,0.7463099210070208
C0001126,both,0.5409873973869812,0.523233455360524,0.2554131435019766
C0001339,head,0.8231360223967383,0.7900686741736298,0.7499642871569959
C0001339,tail,0.8452666398771586,0.8108490969090101,0.8246101936892372
C0001339,both,0.6326147180847808,0.6246420737981294,0.610010654768088
C0001418,head,0.8090147702250564,0.7847663525438893,0.8490387805652708
C0001418,tail,0.8483782064113928,0.7951936976347276,0.6727906329687511
C0001418,both,0.5814185421373217,0.5624088316135373,0.3042803960961686
C0001430,head,0.8470493088912852,0.84277941069734,0.9176465203394334
C0001430,tail,0.8954024115282815,0.8853154459059452,0.9164611943409396
C0001430,both,0.5991324379962749,0.6057838283405479,0.4781985423680223
C0001546,head,0.7895668471470221,0.7675251444907639,0.6905555445273731
C0001546,tail,0.9161807580174928,0.9116703906639468,0.895800563436032
C0001546,both,0.6206788837984173,0.6212593782563857,0.4649639390606425
C0001623,head,0.8357016360263114,0.8236696768747163,0.9265202148673154
C0001623,tail,0.8683905380333952,0.8603056623894438,0.9463049895406332
C0001623,both,0.6182007927137797,0.6161310346330242,0.5768431541932642
C0001818,head,0.7804696789536266,0.7558094521419041,0.6710521298309894
C0001818,tail,0.9114149821640904,0.9112320415451228,0.976550749366378
C0001818,both,0.6540576694411415,0.6213098138494316,0.4218971730539338
C0001824,head,0.7864988208577168,0.7517405382278346,0.6676716854528343
C0001824,tail,0.835405930648965,0.8067653938874664,0.8990804782543412
C0001824,both,0.5590935889597345,0.5574094084148797,0.4254561243226479
C0001948,head,0.8107904672874504,0.778249140552928,0.6998663772511676
C0001948,tail,0.8531243550364822,0.8258442847060519,0.8093267650652471
C0001948,both,0.6176716968762521,0.5959200076324824,0.4792782264170694
C0001969,head,0.8428899599117157,0.8269074717652458,0.81151102292715
C0001969,tail,0.84343047610468,0.799858427493529,0.7279508104736584
C0001969,both,0.5834872303049411,0.5855474135087,0.4166690356520218
C0002064,head,0.8234710743801653,0.7677538685895207,0.630435080189454
C0002064,tail,0.884710743801653,0.8644304851880698,0.8267794278985251
C0002064,both,0.5211570247933884,0.4986380799320787,0.2153606855140987
C0002103,head,0.8478451788139432,0.8218809630448498,0.8448005823660881
C0002103,tail,0.8932141240380262,0.872695930067163,0.8960113629872246
C0002103,both,0.6074875509280218,0.6164658067772892,0.6409925571021508
C0002170,head,0.7864715527503874,0.755648008113753,0.8107312773963146
C0002170,tail,0.8598456346443252,0.8319935394862779,0.8118584937494567
C0002170,both,0.6149401406078031,0.6047360759369144,0.6137312192443565
C0002390,head,0.8279017013232515,0.7907840746496354,0.7161450379868017
C0002390,tail,0.8961814744801512,0.8857662277416187,0.8918737110662369
C0002390,both,0.6453686200378072,0.658960128912006,0.551252803327267
C0002453,head,0.8594718491735538,0.8655923012403883,0.9692489691851524
C0002453,tail,0.8833935950413223,0.8293151064143252,0.7154058266910461
C0002453,both,0.6672262396694215,0.68656505702546,0.6789431426922082
C0002622,head,0.7988878829032745,0.7739068829161313,0.9122449236683148
C0002622,tail,0.8480926512750867,0.8150009127736229,0.7760936293056931
C0002622,both,0.601532619083547,0.5779340409876557,0.2531504592346338
C0002726,head,0.8117913832199547,0.7867879413024386,0.6934351036962221
C0002726,tail,0.9098639455782314,0.8938283409441934,0.8157251960674406
C0002726,both,0.5646258503401361,0.5800709563016042,0.3655463179266926
C0002736,head,0.90890625,0.8956862015061657,0.8651990841062458
C0002736,tail,0.88984375,0.8827293748688576,0.8608927841432354
C0002736,both,0.7253125,0.7195867890166703,0.5945817072126485
C0002792,head,0.7912151680551566,0.7719597914489342,0.7999644500384823
C0002792,tail,0.8457943119793163,0.8009651583708542,0.7028683009881889
C0002792,both,0.5789945417983339,0.5815199562178015,0.522245807223973
C0002871,head,0.776517013937959,0.7468127851509374,0.7554815429711982
C0002871,tail,0.834972882230874,0.7970131601800564,0.6539350611061064
C0002871,both,0.5716919467483693,0.5544963311634006,0.3677699143205917
C0002874,head,0.8083115206712324,0.7772858357059759,0.7321551918827968
C0002874,tail,0.846534475958263,0.8017302270510548,0.6977784430174466
C0002874,both,0.6204596794435082,0.5840925987262771,0.3493335560173458
C0002878,head,0.840263521582203,0.8096626214705963,0.7600402018805502
C0002878,tail,0.8355807806357257,0.8149122666299715,0.8523314408451367
C0002878,both,0.6168337157348147,0.6210345655525591,0.5856225330461899
C0002884,head,0.8489042675893885,0.8450170777956959,0.6711880956572146
C0002884,tail,0.8504421376393695,0.7977034709430427,0.6561277321312836
C0002884,both,0.6474432910419069,0.6655123427320045,0.4554934809517809
C0002940,head,0.8582706261757592,0.8129496566317604,0.7096535227347566
C0002940,tail,0.902344799785004,0.8833577808473866,0.9085952600178624
C0002940,both,0.6475241870464928,0.6607008381577729,0.6707705184967558
C0002962,head,0.8096084226798115,0.7752497939416918,0.7133163755384667
C0002962,tail,0.8515009901637935,0.8284180659197032,0.9439317823105924
C0002962,both,0.6172671888242864,0.6074140430157857,0.6708189491610541
C0002994,head,0.7951025613774048,0.7708559250981157,0.835244243031719
C0002994,tail,0.8504113083218197,0.8022417236372485,0.7519114330922535
