side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000731,head,0.5,0.49999999999999994,0.27591226249452666
C0000731,tail,0.5,0.49999999999999994,0.27591226249452666
C0000731,both,0.5,0.49999999999999994,0.27591226249452666
C0000737,head,0.671794053990494,0.6613104512166597,0.6786562437533855
C0000737,tail,0.6959081180336051,0.6932268728244267,0.6754452333565893
C0000737,both,0.547427823715319,0.5398180414132395,0.3600125769699286
C0000768,head,0.8145783000886256,0.7798080385662552,0.7119093167818781
C0000768,tail,0.8500892325996431,0.8109765391828998,0.7610951182398168
C0000768,both,0.553703456397431,0.5591736267365683,0.4100846740312478
C0000786,head,0.8037025359218052,0.7902819949087694,0.7620249218268895
C0000786,tail,0.870456285752894,0.8778965618851255,0.9354736811460481
C0000786,both,0.6585739381108958,0.6407957733324005,0.5039763057703414
C0000833,head,0.7990005227300825,0.7722860715809159,0.75535945485986
C0000833,tail,0.8698185193941537,0.8453184512633944,0.8712850390275625
C0000833,both,0.5938690919028893,0.5786971090743904,0.4688032372813426
C0001122,head,0.7807172425275487,0.7634233366345012,0.8515942695334195
C0001122,tail,0.8349515084542993,0.8116839157656506,0.9009431416035407
C0001122,both,0.5414403660732389,0.5411232221315293,0.5339140386993229
C0001126,head,0.7911897329171003,0.7719594982233738,0.7280303740078563
C0001126,tail,0.8499248468030985,0.8108264925498057,0.7005110479957303
C0001126,both,0.5302347092149382,0.5189514416652704,0.24439592536052895
C0001339,head,0.8181515771657587,0.791438880810168,0.8225205810993965
C0001339,tail,0.8480369588763309,0.8112881329246966,0.7292980801863588
C0001339,both,0.6347383631965383,0.6332781028889842,0.7055163119247309
C0001418,head,0.8098601618576454,0.7830613555838741,0.8227102577092222
C0001418,tail,0.8497043810231919,0.7934262225035171,0.6412695029031994
C0001418,both,0.5844837570419514,0.566413439937004,0.30084387553709996
C0001430,head,0.8444270169591217,0.8205364160906987,0.7891648704826182
C0001430,tail,0.879742182139006,0.8706994206217151,0.9141211043113624
C0001430,both,0.5772963434957357,0.5851152775041529,0.47494124517688424
C0001546,head,0.795085381091212,0.7853544834595306,0.7352599368456457
C0001546,tail,0.9124323198667221,0.9116606368857312,0.9234928944134652
C0001546,both,0.6225531028738026,0.6387432725672149,0.5020276295680874
C0001623,head,0.8223772980266487,0.7968830114632501,0.8131969203318196
C0001623,tail,0.8702036599763874,0.8710844158468591,1.0
C0001623,both,0.6181375442739079,0.6176129234252248,0.5278990544511963
C0001818,head,0.7916171224732461,0.7696132746087464,0.6965547619379389
C0001818,tail,0.9038347205707491,0.9008777449510843,0.9221491983436368
C0001818,both,0.6429102259215219,0.6043458862557989,0.3608287498117374
C0001824,head,0.7908278015547209,0.7665502150842805,0.7536040490407073
C0001824,tail,0.8273702943488515,0.7955398207160105,0.8194222362443035
C0001824,both,0.5516802777535156,0.54919751205121,0.37499589012809126
C0001948,head,0.8194344959875681,0.7879438766208999,0.7112344003021931
C0001948,tail,0.8527237188748195,0.8220766747299693,0.7685248045276143
C0001948,both,0.6185458121380617,0.595149672411757,0.4940938603498866
C0001969,head,0.8450970676996531,0.8365288137006189,0.8431447980008366
C0001969,tail,0.8421692716544299,0.7995227887507425,0.7347870763280925
C0001969,both,0.6003783613350749,0.593352826365169,0.44425288008819863
C0002064,head,0.824297520661157,0.7772270295820539,0.6541859280953654
C0002064,tail,0.883305785123967,0.8683195223831822,0.8209577953922258
C0002064,both,0.5290909090909091,0.5077162826228474,0.24456516350029767
C0002103,head,0.8360887279311905,0.8111762289933936,0.8639429458219691
C0002103,tail,0.8893662290629244,0.8707461245183689,0.8744571763185626
C0002103,both,0.6027976459936624,0.6171095908496749,0.6674370562720024
C0002170,head,0.7831430673165471,0.754122998268639,0.790101638320278
C0002170,tail,0.8619022483771703,0.8396492933320627,0.8756165052945896
C0002170,both,0.6188484086161586,0.6135300214255289,0.6024606982234065
C0002390,head,0.823289224952741,0.7824911612860233,0.6814241986742802
C0002390,tail,0.8939886578449905,0.89044813503831,0.9106223353523879
C0002390,both,0.6449905482041588,0.6436465595499367,0.5181364985282993
C0002453,head,0.8631198347107438,0.8660837717391778,0.9191188020897789
C0002453,tail,0.8743543388429752,0.8227697603941935,0.7268292988206879
C0002453,both,0.668517561983471,0.6751299316262964,0.6108822004751275
C0002622,head,0.7947190785171772,0.7728827048592475,0.945515210376779
C0002622,tail,0.8446597253659273,0.8090374472317229,0.714146932970116
C0002622,both,0.6036482068306424,0.5800068843688,0.2404396931038598
C0002726,head,0.8339002267573696,0.7991422666617689,0.7058573216927937
C0002726,tail,0.9009353741496599,0.8800674942924627,0.799377614884212
C0002726,both,0.5486111111111112,0.5774557586860132,0.3616330642184921
C0002736,head,0.90453125,0.8843283845872356,0.8298002939754922
C0002736,tail,0.90421875,0.8944736913254636,0.855063909154795
C0002736,both,0.74015625,0.7244383020849949,0.6222890529999822
C0002792,head,0.7911490950876185,0.7799843038589072,0.8766511711841558
C0002792,tail,0.8512668773340993,0.807107460758997,0.7023923895439329
C0002792,both,0.5805429474288998,0.5844537260791218,0.49765651873443906
C0002871,head,0.7782102724716572,0.7470538065725213,0.7781594607366348
C0002871,tail,0.8327322925772003,0.7927092685994328,0.6344800809220181
C0002871,both,0.5713568041016526,0.5572197340940862,0.3717877935150628
