epoch,runtime
1,367.67413210868835
2,358.64435362815857
3,370.42029786109924
4,370.8672297000885
5,365.96043395996094
6,365.9503116607666
7,370.1868622303009
8,366.5439326763153
9,368.3207895755768
10,363.96533966064453
11,368.2905659675598
12,366.3192472457886
13,366.19713854789734
14,366.78428864479065
15,363.25119161605835
16,366.6172924041748
17,364.62245988845825
18,361.55707454681396
19,360.368456363678
20,359.19572734832764
21,357.37139916419983
22,359.0105493068695
23,362.9017677307129
24,364.6574218273163
25,359.64865040779114
26,364.92471051216125
27,363.0495023727417
28,358.7159113883972
29,363.73352575302124
30,365.70927572250366
