side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000737,head,0.6863483148886282,0.6730106725126009,0.6463699712056452
C0000737,tail,0.7036299589801742,0.6958737214848105,0.6308772002867673
C0000737,both,0.5578537051899908,0.5449279444300597,0.3176469508874756
C0000768,head,0.830433779698673,0.7931967642865496,0.7714132031857005
C0000768,tail,0.8678871905692676,0.8197608128238177,0.6959747233291631
C0000768,both,0.5783486505845645,0.5702553467664275,0.4209029074335811
C0000786,head,0.8348723030494122,0.8112627086520802,0.7243745767102306
C0000786,tail,0.9038331606684384,0.9057149449148668,0.9230708367212273
C0000786,both,0.6939327057339758,0.6808760387623486,0.5946257889082388
C0000833,head,0.8337674957324837,0.7965281638853818,0.7266332243748838
C0000833,tail,0.8848562275372474,0.8529836273062956,0.8028587770079111
C0000833,both,0.6157868822946332,0.5947823792557501,0.442759314916795
C0001122,head,0.8052228274807356,0.7756726311170126,0.796638200249604
C0001122,tail,0.8528805575957108,0.8219484695151535,0.8716277970273589
C0001122,both,0.5627865821482902,0.5565956072073078,0.6275343987803909
C0001126,head,0.8181292634986703,0.8021248951487907,0.7539561829776896
C0001126,tail,0.8644930049716729,0.8346683790299809,0.7547523115949315
C0001126,both,0.5453809688981385,0.5454959818133047,0.2857613706938637
C0001339,head,0.8346058349677595,0.8015597810604729,0.7912365428813292
C0001339,tail,0.8679587725437702,0.8400404481887356,0.8788800570220877
C0001339,both,0.6476372452224637,0.6427160288560769,0.7238222606738016
C0001418,head,0.8340083359547026,0.7976784580377554,0.7199683405629261
C0001418,tail,0.8615630987446024,0.8017075568760017,0.5959048093340908
C0001418,both,0.6106408533272327,0.5838379538275741,0.3409021313833281
C0001430,head,0.9007450249975492,0.8820837845787479,0.8749793595286819
C0001430,tail,0.9203264385844524,0.9065541970987792,0.9304431058228512
C0001430,both,0.6539309871581218,0.6478117975818797,0.5842067321287455
C0001546,head,0.861307788421491,0.837020270709046,0.7709803455717418
C0001546,tail,0.9338817159516868,0.924600433683602,0.9327307223867836
C0001546,both,0.6922115785089545,0.6888440853798183,0.5834978510647094
C0001623,head,0.8542650531286895,0.829757545721094,0.8185056180400528
C0001623,tail,0.8787000337325013,0.8745090812647411,1.0
C0001623,both,0.6253689492325856,0.6235487724866171,0.5541524636478594
C0001818,head,0.8397740784780023,0.8031506277390916,0.7015302118964307
C0001818,tail,0.9372770511296076,0.9389655193900522,1.0
C0001818,both,0.6735285374554103,0.6310472122764016,0.4106186462418218
C0001824,head,0.8049283780242816,0.7775396806485265,0.7663691544090964
C0001824,tail,0.8490206568259236,0.8144017102218835,0.8356268331599693
C0001824,both,0.5793082365272075,0.577974167080713,0.4910924809866578
C0001948,head,0.8518374631232624,0.8215336657659489,0.7570711575842481
C0001948,tail,0.8725491386322525,0.8328752500928477,0.7805306496866293
C0001948,both,0.6536925299566585,0.6166469026457718,0.4827492173417634
C0001969,head,0.8877528039277509,0.8777950656079229,0.9177117601442256
C0001969,tail,0.8577091122021531,0.8032627562705676,0.6955673657494732
C0001969,both,0.6040268456375839,0.5924350114251185,0.4107191145533524
C0002064,head,0.8513223140495868,0.7902518941902947,0.6224913407185116
C0002064,tail,0.9015702479338844,0.894682065791834,0.891970057440179
C0002064,both,0.5626446280991735,0.5293064329891245,0.2455161445598522
C0002103,head,0.8810502489814396,0.8526432976449287,0.8444629631556653
C0002103,tail,0.9144363965595292,0.8881786398943752,0.8983751932222939
C0002103,both,0.6490719782707107,0.656630636953878,0.7569090446470278
C0002170,head,0.8162763078097977,0.7799013955818338,0.784240117845725
