epoch,runtime
1,112.34389638900757
2,110.29630970954895
3,110.47526264190674
4,109.2580783367157
5,109.84546780586243
6,109.55240774154663
7,110.285715341568
8,110.52666187286377
9,110.09921336174011
10,110.51662278175354
11,109.57183480262756
12,110.54681730270386
13,109.66321158409119
14,110.47108745574951
15,109.64744281768799
16,109.4453604221344
17,110.03778457641602
18,109.74183678627014
19,109.99301171302795
20,109.90617275238037
21,109.39790844917297
22,110.74811363220215
23,109.8020076751709
24,110.60042095184326
25,109.91576981544495
26,109.86611986160278
27,110.10296511650085
28,110.26413822174072
29,109.69697284698486
30,109.85064888000488
31,109.18197774887085
32,110.08892869949341
33,109.6186671257019
34,110.46422743797302
35,110.28084325790405
