side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000737,head,0.6709327750873113,0.6617690531753384,0.7579248118612051
C0000737,tail,0.6992000883094478,0.6993095893107759,0.7401433297573377
C0000737,both,0.5501128846931236,0.5422984183457498,0.3804362925451518
C0000768,head,0.7803663999805752,0.756513581943846,0.7437612641788895
C0000768,tail,0.8519345870412413,0.8177989358754199,0.8286451433246684
C0000768,both,0.5492114751909092,0.5689991048666787,0.5400993604161064
C0000786,head,0.8035223638574839,0.789423997989805,0.7452907205562334
C0000786,tail,0.8770325661006261,0.8767914266055686,0.9228113584852216
C0000786,both,0.6583036800144138,0.6244701458234738,0.4296603694557392
C0000833,head,0.803794022657421,0.7778893933782202,0.8055989973525837
C0000833,tail,0.8693131413475157,0.849180195527336,0.9289952583127762
C0000833,both,0.5887784383601458,0.5745339202667534,0.4364288303846081
C0001122,head,0.7724126541249703,0.75226436513216,0.8043499734591459
C0001122,tail,0.8367668364284764,0.8134833955140329,0.915984728803498
C0001122,both,0.5350665776905322,0.5368373314407577,0.5800107108947747
C0001126,head,0.8019424210891433,0.7823019873221335,0.7094089337416832
C0001126,tail,0.8536246964967048,0.8192969104827333,0.7438916864127616
C0001126,both,0.5303503295178633,0.5199435539600337,0.2507067208799004
C0001339,head,0.8196045975053823,0.7897965832786202,0.8070629809019355
C0001339,tail,0.8470975519534607,0.8135115119690334,0.7858401871607634
C0001339,both,0.6379690714241995,0.629324893738582,0.6019878369595135
C0001418,head,0.8098512253710429,0.7826495835534406,0.7530518049676712
C0001418,tail,0.8513165232062685,0.7976356641642696,0.644401053031758
C0001418,both,0.5826410535045325,0.5627428993051546,0.3365824293238645
C0001430,head,0.8534947554161356,0.8292180534116671,0.8249437994664482
C0001430,tail,0.8823399666699343,0.8739867370092,0.916381175080912
C0001430,both,0.6074404470149986,0.6061646327354608,0.4549155701245874
C0001546,head,0.7754060807996668,0.7570892741432061,0.6827311253086699
C0001546,tail,0.912640566430654,0.9050335891785084,0.886097117105297
C0001546,both,0.6259891711786756,0.6319697066414403,0.4592137645184494
C0001623,head,0.8310950413223139,0.8098195067325056,0.8450689877988806
C0001623,tail,0.8685064935064934,0.8622572167620535,0.9796
C0001623,both,0.6165563332771125,0.6205054740985633,0.556117322337804
C0001818,head,0.782922116527943,0.766987586479462,0.7236460906735692
C0001818,tail,0.9127526753864448,0.910810059601912,0.9480333899469818
C0001818,both,0.6410523186682522,0.6250247547918697,0.4170880745034074
C0001824,head,0.7869737531662153,0.763139171768414,0.7449989581580272
C0001824,tail,0.8355478644423093,0.8030408749823322,0.8912909374182248
C0001824,both,0.5565715346318456,0.5572176577271453,0.4100388397678378
C0001948,head,0.8041981813546358,0.7682625974502398,0.6698662516086253
C0001948,tail,0.8595466741128337,0.8253518539464546,0.7884498619276512
C0001948,both,0.6245917760322451,0.6057687781848753,0.5285805579441937
C0001969,head,0.8368992387730282,0.8355201672672664,0.8614878386403643
C0001969,tail,0.8491509391468853,0.793597687771535,0.6689581732762929
C0001969,both,0.5792081437773073,0.5747437686731633,0.4344432160595377
C0002064,head,0.8078512396694215,0.7685917180213957,0.6617900677752188
C0002064,tail,0.8871900826446282,0.8691966571772539,0.856900247186842
C0002064,both,0.5260330578512398,0.5034174145909297,0.2279084898535041
C0002103,head,0.847406066093255,0.8286968465087607,0.9227946419136996
C0002103,tail,0.8891625169760072,0.8721978031168922,0.9149553386090404
C0002103,both,0.6022453598913535,0.6128621768878144,0.6526549658083718
C0002170,head,0.783736888210058,0.7507976403843989,0.7128312208968633
C0002170,tail,0.8617043080793334,0.8409316673365173,0.9447601860846404
C0002170,both,0.6191151366770737,0.6094222361813979,0.6377327463733095
C0002390,head,0.8326654064272213,0.795365573617407,0.7068337149997924
C0002390,tail,0.8915689981096409,0.8885003798936641,0.9101647295519638
C0002390,both,0.6431001890359169,0.6447538679349863,0.5673960064829352
C0002453,head,0.8613765495867769,0.8636909388163767,0.969915635851819
C0002453,tail,0.8800038739669422,0.8265029175082266,0.7381476035156679
C0002453,both,0.6658703512396694,0.6715801979547138,0.621009727771441
C0002622,head,0.790367184749258,0.7734636790626388,0.976550749366378
C0002622,tail,0.8488994517378402,0.8141101206059944,0.7779418093499233
C0002622,both,0.6026739097630904,0.5794883978330791,0.3046821875250187
C0002726,head,0.8225623582766439,0.8158078516010898,0.7613343603525741
C0002726,tail,0.9210600907029478,0.9024078110301452,0.8382262667006095
C0002726,both,0.5612244897959184,0.5797143393480834,0.3900861745013768
C0002736,head,0.9046875,0.8909672574052296,0.847290742498406
C0002736,tail,0.8890625,0.8806260666498051,0.8775079899139117
C0002736,both,0.7256250000000001,0.7062594652213511,0.5548141787159268
C0002792,head,0.7809422579718471,0.7627986666542933,0.8287232886272043
C0002792,tail,0.846087331226659,0.800326972124829,0.7346335458862989
C0002792,both,0.5686210858948578,0.5650815446031858,0.3957869906172074
C0002871,head,0.7789925461259772,0.7497506218065392,0.7792675598711253
C0002871,tail,0.8321330109201673,0.7957018575952323,0.7736291143093349
C0002871,both,0.5686344040581183,0.5530612418891063,0.400902807052274
C0002874,head,0.8060884219584783,0.7686663222850547,0.6981354162368025
C0002874,tail,0.8421241349636057,0.7959172763723474,0.6616570959723059
C0002874,both,0.607515507906343,0.5815453073333391,0.3517772760441554
C0002878,head,0.8317836010143703,0.7989932608272245,0.7986740748216933
C0002878,tail,0.8380496182693985,0.8140902234391134,0.8238523528702077
C0002878,both,0.6122851507466892,0.6187524074551477,0.5758719236215338
