epoch,runtime
1,289.6300995349884
2,287.542197227478
3,278.7605605125427
4,283.65001344680786
5,283.3787579536438
6,287.2139513492584
7,289.82919454574585
8,284.4129672050476
9,275.55924892425537
10,287.6551773548126
11,285.9359896183014
12,279.0730435848236
13,277.0504193305969
14,283.7405843734741
15,287.2205445766449
16,276.9983797073364
17,287.1181240081787
18,283.9195592403412
19,282.4853570461273
20,283.2348585128784
21,280.756224155426
22,284.5024619102478
23,281.13151121139526
24,280.03978657722473
25,288.8124041557312
26,285.4744782447815
27,280.72310304641724
28,288.59080505371094
29,281.2545118331909
30,279.81882309913635
31,283.55166387557983
32,285.5189108848572
33,283.911248922348
34,280.24860405921936
35,284.84011912345886
36,285.7337484359741
37,285.61756658554077
38,285.3178594112396
39,279.1026608943939
40,283.31082582473755
41,286.83027815818787
42,284.05255460739136
43,287.91748881340027
44,289.75835394859314
45,290.03337574005127
46,290.5605823993683
47,289.4081416130066
48,288.4997353553772
49,284.12790989875793
50,289.88320326805115
51,278.20307445526123
52,283.61742973327637
53,283.5178940296173
54,284.9466474056244
55,279.6457974910736
56,287.4201865196228
57,279.0354254245758
58,284.39463114738464
59,283.86470675468445
60,283.0881624221802
