side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000737,head,0.6756715543008206,0.6663286347230911,0.7011885502646739
C0000737,tail,0.6963038525651081,0.6953425050980068,0.7293863040116261
C0000737,both,0.5462630901631171,0.5380072715959845,0.3232197680741317
C0000768,head,0.8081681215020213,0.770939189934785,0.6965660946750334
C0000768,tail,0.8496278939892435,0.8042459837179361,0.682438298161144
C0000768,both,0.544500965168935,0.5630546510521787,0.4919395827561609
C0000786,head,0.8087023107067249,0.8011553579534887,0.7966614224450197
C0000786,tail,0.8736993829106797,0.8686367585408794,0.8852306801532825
C0000786,both,0.6522228728435656,0.6256548562924389,0.4366530538115368
C0000833,head,0.8023386206432834,0.7741379907800096,0.7613291839388373
C0000833,tail,0.8737053754438324,0.8534059024839323,0.9210322557973388
C0000833,both,0.5957886608783166,0.5783190484507212,0.4260017311318148
C0001122,head,0.7848312698299741,0.7601091858661894,0.797253747434618
C0001122,tail,0.8337806756188831,0.8082188781574673,0.8710629796446512
C0001122,both,0.5323180744633571,0.535619827105793,0.5741880806016888
C0001126,head,0.785639958376691,0.7545688008394418,0.6814466450611816
C0001126,tail,0.8462249971094925,0.806134144828993,0.7113072386744992
C0001126,both,0.5413342582957568,0.5249743761581472,0.2504924224806912
C0001339,head,0.8146387807402952,0.7828785760883237,0.6923517653967772
C0001339,tail,0.8473982686171558,0.8125505522032269,0.7760924843568104
C0001339,both,0.6287772541109032,0.6236015275140291,0.6665324013716105
C0001418,head,0.8127466470302266,0.788085698811011,0.784085796288679
C0001418,tail,0.851082387257285,0.794319354519907,0.5976731189014424
C0001418,both,0.5771665618118906,0.5575115229760996,0.3122448338108342
C0001430,head,0.8496716008234486,0.826900585270608,0.847513277015503
C0001430,tail,0.8802813449661798,0.8679136440703139,0.9187672175421436
C0001430,both,0.5869032447799235,0.5969079945790681,0.4879873208529495
C0001546,head,0.7877967513536026,0.7712015517796666,0.684864321969016
C0001546,tail,0.9081632653061223,0.898208692845712,0.860287771603411
C0001546,both,0.6104748021657641,0.6236028007649663,0.4733589007837231
C0001623,head,0.822314049586777,0.8057500555927118,0.8630734224640892
C0001623,tail,0.8690651880586946,0.8613486628214593,0.9539995154447268
C0001623,both,0.5985094451003542,0.5959528673977903,0.5081059464598688
C0001818,head,0.8020214030915577,0.781456031551385,0.6931746893926323
C0001818,tail,0.9100029726516052,0.911148555826702,0.973507077169304
C0001818,both,0.6326545778834721,0.5951444985401546,0.4073651420499062
C0001824,head,0.7912590619268058,0.771892796155826,0.8473935801163626
C0001824,tail,0.8364813520831513,0.8060374780125028,0.8756183357480956
C0001824,both,0.5523844877281858,0.5467403970969116,0.3762709718300388
C0001948,head,0.8159258944505822,0.7834286058303953,0.6966561371701429
C0001948,tail,0.8470905316320461,0.8265878296552381,0.8497136153549967
C0001948,both,0.6227949835496364,0.5968566661067543,0.493922068221384
C0001969,head,0.8551416602855727,0.843058176166176,0.8547887457071991
C0001969,tail,0.8487905950182425,0.8039048179087959,0.7338841816056277
C0001969,both,0.5847033917391109,0.5814644940141431,0.416441489386435
C0002064,head,0.8037190082644629,0.7330893268626654,0.5709414386013941
C0002064,tail,0.8742975206611571,0.8652444092523595,0.8570946352175866
C0002064,both,0.5191735537190083,0.5039291022692058,0.2470887110007341
C0002103,head,0.8470393843368039,0.8261005618933304,0.8980913872499666
C0002103,tail,0.8877546401086465,0.8607048733342422,0.8477685900863965
C0002103,both,0.5948528746038931,0.6055643395774333,0.6607997312043749
C0002170,head,0.7871580265492688,0.7597889519393167,0.8152687065583336
