epoch,runtime
1,786.9025292396545
2,773.7442526817322
3,768.9451673030853
4,784.9408075809479
5,785.8956241607666
6,780.5030500888824
7,770.0933165550232
8,777.7720127105713
9,788.7845618724823
10,772.4561822414398
11,795.537896156311
12,786.7036080360413
13,781.4429128170013
14,777.1987709999084
15,785.8054707050323
16,788.8606877326965
17,790.164605140686
18,788.867600440979
19,796.2764444351196
20,768.9297523498535
21,776.4806914329529
22,773.5038225650787
23,761.2350714206696
24,766.3397462368011
25,770.4090299606323
26,775.4931826591492
27,771.4263463020325
28,764.2798683643341
29,765.1994366645813
30,770.6726233959198
31,782.9171726703644
32,769.7657008171082
33,768.3133492469788
34,762.1805372238159
35,769.55024766922
