side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000731,head,0.5,0.49999999999999994,0.27591226249452666
C0000731,tail,0.5,0.49999999999999994,0.27591226249452666
C0000731,both,0.5,0.49999999999999994,0.27591226249452666
C0000737,head,0.6679017190891299,0.654198393025865,0.6451899236368678
C0000737,tail,0.6925005252099694,0.6909444972662033,0.6887411555973614
C0000737,both,0.5446352119524919,0.5346260517953105,0.2811527162576138
C0000768,head,0.8133642511138899,0.7714824397830689,0.6797049126003342
C0000768,tail,0.8442617975209119,0.7980317011911267,0.6753946659480206
C0000768,both,0.5478638808289525,0.5403161961488261,0.3234901831185034
C0000786,head,0.7942435025449304,0.7848440841552573,0.7631676165004987
C0000786,tail,0.8700959416242512,0.8755947897306782,0.9205877148898179
C0000786,both,0.6396558713571462,0.6133814939927295,0.46687088322498305
C0000833,head,0.8007118672742772,0.7682968721551217,0.6764326004006262
C0000833,tail,0.8644437262629572,0.83946469304601,0.9117672150262386
C0000833,both,0.5913161736157955,0.5737569315233799,0.40701305230508916
C0001122,head,0.7912292267803842,0.7733926947164622,0.8578491233716854
C0001122,tail,0.8383176528561205,0.8108295871846315,0.8711885659770272
C0001122,both,0.5383736433713003,0.5412365361373944,0.5843603267653547
C0001126,head,0.7937333795814545,0.7499694798247105,0.6206715271340086
C0001126,tail,0.8588276101283385,0.8243914953115803,0.7700895291951854
C0001126,both,0.5422592207191583,0.5184782192769732,0.23182878454488004
C0001339,head,0.8147106333944524,0.7849503677156844,0.8138955425637685
C0001339,tail,0.846232658894161,0.8135925646374629,0.7792919808394382
C0001339,both,0.6283275097200673,0.6292334842199307,0.6497230957781371
C0001418,head,0.80441069232749,0.7771420018586548,0.8130693510040501
C0001418,tail,0.8512861391518202,0.8014799508052368,0.6679265453866127
C0001418,both,0.5838456918985386,0.5674668834688926,0.27885993032666256
C0001430,head,0.8340848936378786,0.8102228703089345,0.8431255741901932
C0001430,tail,0.8759925497500246,0.8659762803693059,0.8889554030287122
C0001430,both,0.5859229487305166,0.5830991181729843,0.43655917272498934
C0001546,head,0.7808204914618909,0.7680451571279023,0.6850383891202454
C0001546,tail,0.9031653477717618,0.8907416358533955,0.8508412495181861
C0001546,both,0.6043315285297792,0.6093558307191798,0.4282429320059615
C0001623,head,0.8311372069488953,0.8133417999014319,0.8727719467225898
C0001623,tail,0.8642899308483725,0.8594264585818622,1.0
C0001623,both,0.6196765896441221,0.6063587872095406,0.5091835682492653
C0001818,head,0.7799494649227111,0.7586759733338294,0.6755531559702329
C0001818,tail,0.9016052318668252,0.9030777930275223,0.950069440937541
C0001818,both,0.6247770511296077,0.5911248042983923,0.3715830703658871
C0001824,head,0.7885022709406936,0.7658661676388256,0.7857159844804704
C0001824,tail,0.8391999301249019,0.8069758989386548,0.8537049034468018
C0001824,both,0.5541204472006289,0.5511448420993865,0.42672404093725036
C0001948,head,0.8064805934271388,0.7791050228056279,0.6961188914157844
C0001948,tail,0.8456336728623634,0.8234283006339378,0.8144061444385856
C0001948,both,0.5926865689761925,0.562261111740675,0.3491432151193441
C0001969,head,0.859465789829287,0.8518191081124075,0.8426654948832412
C0001969,tail,0.8403225079951354,0.7906141509453569,0.678186695053205
C0001969,both,0.6028557272194945,0.6045206436841294,0.4846610687795788
C0002064,head,0.8247107438016529,0.7589452369714289,0.6039678198221358
C0002064,tail,0.8832231404958679,0.8744174990312638,0.8924695481599844
C0002064,both,0.5407438016528926,0.509585075396512,0.22634113054807808
C0002103,head,0.8470982344952469,0.8273227802126405,0.9144761952540741
C0002103,tail,0.8766274332277049,0.8572471038493145,0.8984933570422201
C0002103,both,0.6077229515617927,0.6130996602683568,0.6179464572043943
C0002170,head,0.7828089553244536,0.7479462136220951,0.8047838704521953
C0002170,tail,0.8571432582376857,0.8353263551766432,0.9375755102040816
C0002170,both,0.6106767031288606,0.6004629161897183,0.5003662489959358
C0002390,head,0.8170132325141778,0.7783997166997056,0.7079267544398062
C0002390,tail,0.8834026465028355,0.8810891463154799,0.8998456659103837
C0002390,both,0.6313799621928166,0.6255168047950739,0.48181298637137693
C0002453,head,0.8618607954545454,0.8677027177043086,0.9458544904730624
C0002453,tail,0.8691244834710744,0.8195625549848766,0.7694732126791923
C0002453,both,0.6469847623966942,0.6529347077057217,0.6226506463630771
C0002622,head,0.7929032744831749,0.7668210490732277,0.8517448293640775
C0002622,tail,0.8388370806297469,0.8024510770886777,0.6798995699233518
C0002622,both,0.5944218097681203,0.5691540777913933,0.15923893956946197
C0002726,head,0.8558673469387755,0.835334575601907,0.7546961116636628
C0002726,tail,0.9022108843537414,0.8759396975510487,0.7910189543537074
C0002726,both,0.5629251700680272,0.5703839395475403,0.3630440843646154
C0002736,head,0.9064062500000001,0.8965714745513449,0.8329036547214125
C0002736,tail,0.89,0.8737050475927322,0.8181360788359653
C0002736,both,0.74140625,0.7138163322759851,0.5852245973840551
C0002792,head,0.7923901177822464,0.7801953011763136,0.8878279009149825
C0002792,tail,0.8479603562194773,0.8024793221963612,0.7648525880400245
C0002792,both,0.5756449296179258,0.577597944709655,0.4469096545872502
C0002871,head,0.7785374649042595,0.747894851889182,0.8726527693099311
C0002871,tail,0.8325638302815705,0.7939119683008865,0.6871191856584621
