side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000737,head,0.6853842846269351,0.6736566807954019,0.621644524444616
C0000737,tail,0.704056017161004,0.699260791484956,0.5984883775114256
C0000737,both,0.5611118613244978,0.5481349677723203,0.3284162131325343
C0000768,head,0.8297053503138315,0.7981826261551421,0.7576828928826919
C0000768,tail,0.8660782575969115,0.8245122082339326,0.7638511895735115
C0000768,both,0.5778266095254282,0.587229635600812,0.5519415465987633
C0000786,head,0.8347371740011712,0.8215028394426163,0.8054470007297371
C0000786,tail,0.8974820954011081,0.8984258381637054,0.9441312274002812
C0000786,both,0.7034367821269312,0.6801307274396582,0.5877240019275143
C0000833,head,0.8432937634613842,0.8091212623684678,0.8212931915673508
C0000833,tail,0.8933283590830318,0.8740941903719386,0.9104907614572684
C0000833,both,0.628026574643036,0.6074537960865064,0.5593639597304736
C0001122,head,0.8043218769846758,0.7750620833570356,0.8199481250305213
C0001122,tail,0.8540930140755053,0.8253100520876184,0.950134371721984
C0001122,both,0.5753488665613096,0.5666884060771179,0.6199192543810423
C0001126,head,0.8173199213781941,0.8056858347940261,0.7706456122682241
C0001126,tail,0.8654179673950747,0.8343293411518968,0.8023214182844449
C0001126,both,0.5628396346398428,0.5489035923562094,0.2822966419431574
C0001339,head,0.8379829097131483,0.8101709812772052,0.8344929941591133
C0001339,tail,0.8662795494040222,0.8360272865553648,0.8528307936451129
C0001339,both,0.651261812443283,0.6450850458500628,0.6993682658652363
C0001418,head,0.8330074494552319,0.7972586906711008,0.7362811484494333
C0001418,tail,0.8593254024993565,0.8053201036662377,0.6915037022937597
C0001418,both,0.6065908375990163,0.5784472589631738,0.3034439280336602
C0001430,head,0.8950348005097539,0.8780712865944338,0.907769313912217
C0001430,tail,0.9058915792569356,0.8804459937236038,0.883569313912217
C0001430,both,0.6565287716890502,0.637004254391985,0.488226238463181
C0001546,head,0.8329862557267805,0.8077822555700531,0.7176000950137036
C0001546,tail,0.9312786339025406,0.9235481690529276,0.8974361054615038
C0001546,both,0.6657642648896294,0.662240736294887,0.499958130046417
C0001623,head,0.8476766739753753,0.8216338906940177,0.8820384815413391
C0001623,tail,0.8813143025805363,0.8745728567972464,0.9560827221554936
C0001623,both,0.6224068139652554,0.6184711759730288,0.5875110901313036
C0001818,head,0.8420035671819263,0.8223103463375137,0.7586901642103779
C0001818,tail,0.925460760998811,0.9150087924207566,0.8834456134303101
C0001818,both,0.6749405469678953,0.6356105410394945,0.4751975831341027
C0001824,head,0.8076360380819286,0.7763003212374507,0.7820850291247473
C0001824,tail,0.8490479517861822,0.8139536927818322,0.8240374112032811
C0001824,both,0.5786531574810027,0.5742273927305634,0.4982039425471521
C0001948,head,0.8632616639755248,0.8357709663103277,0.7668839625784496
C0001948,tail,0.8739574354429458,0.8403083111203007,0.8070662302664086
C0001948,both,0.6664400441913826,0.6313578340392825,0.5023219849501162
C0001969,head,0.8725282644925905,0.8654251813011806,0.8924785915356079
C0001969,tail,0.8656366830322959,0.8143551566782699,0.7142631988907255
C0001969,both,0.6265483536777623,0.621535755305295,0.4986060266963291
C0002064,head,0.8393388429752067,0.771049741643228,0.6018351329762903
C0002064,tail,0.8971900826446281,0.8787512006907937,0.8518986765747405
C0002064,both,0.5520661157024793,0.523794483805775,0.2425821599616955
C0002103,head,0.8709280217292893,0.8444392706409454,0.9178044282988668
C0002103,tail,0.9151018560434584,0.8920313883491386,0.8916832618829987
C0002103,both,0.647297419646899,0.6501233855917488,0.7090267582838125
C0002170,head,0.82060291772422,0.7898254475386899,0.8625157427198432
C0002170,tail,0.8810575346465713,0.8555673428151199,0.9191955761268568
C0002170,both,0.6425675523910065,0.6282991423657448,0.7028071587173365
C0002390,head,0.8297164461247638,0.7588964779345366,0.5960131323731656
C0002390,tail,0.9050283553875236,0.893375748041148,0.9011295147667492
C0002390,both,0.6653308128544424,0.658096866315817,0.5223095012878552
C0002453,head,0.8870092975206612,0.8771468844248907,0.8980076437162495
C0002453,tail,0.9194860537190084,0.8817103278726836,0.831947795636257
C0002453,both,0.7030927169421488,0.7089585821283596,0.6999455719722566
C0002622,head,0.8296524319702228,0.7916897210466778,0.7864626722784642
C0002622,tail,0.8694301091494392,0.8331892761716638,0.730861888722347
C0002622,both,0.6274784970574921,0.5962447509873279,0.3078972092171266
C0002726,head,0.8404195011337869,0.8166268058459518,0.7368843087585443
C0002726,tail,0.8932823129251701,0.8554366450462251,0.7594566974557587
C0002726,both,0.5778061224489796,0.6136006744917113,0.4540676639892427
C0002736,head,0.90515625,0.8820562472135975,0.8620752570420531
C0002736,tail,0.92703125,0.9199106076183928,0.8946757285145095
C0002736,both,0.7382812499999999,0.716200222849251,0.5646491690216467
C0002792,head,0.8097845446710715,0.7917306818102847,0.8742196509364035
C0002792,tail,0.8615828784831945,0.8156978541011379,0.7380470047033124
C0002792,both,0.5934875035909222,0.5844062594488451,0.4448548422127324
C0002871,head,0.7998338953540731,0.7610204350359688,0.7594380581466608
C0002871,tail,0.8457311667994672,0.8030099746251051,0.6407672395831753
C0002871,both,0.592178689012434,0.5693608117005244,0.3509987879657625
C0002874,head,0.8371042346444835,0.7982492450329564,0.7307871317796927
C0002874,tail,0.8585822367241565,0.8074398754968573,0.7195864188106407
C0002874,both,0.6345512567679013,0.6053438480318659,0.4239683099206167
C0002878,head,0.8497095090501685,0.805211922680476,0.7450587923235471
C0002878,tail,0.8480591447624414,0.8202100915554035,0.8058369202304888
C0002878,both,0.6303318171450039,0.6217586804033596,0.528590699432695
C0002884,head,0.8735101883890812,0.8703253442442439,0.7182518532626068
C0002884,tail,0.8715878508266051,0.8358034820421731,0.7384666392899086
C0002884,both,0.667051134179162,0.6655199965603967,0.4504984803746434
C0002940,head,0.8627553077129804,0.8170655426678832,0.7626719294231734
C0002940,tail,0.9143543402311208,0.8947882725903571,0.9064834257559112
C0002940,both,0.6791185165278151,0.6633556500464559,0.5893962227034355
C0002962,head,0.8329450037367564,0.7980291523121226,0.7726353952706165
C0002962,tail,0.8723256120664008,0.8465729552676411,0.9195635866492144
C0002962,both,0.6499839999345685,0.6298487166419661,0.6934647761717432
C0002994,head,0.8137102773939845,0.7749906723256921,0.7938528453526109
C0002994,tail,0.8621192475289616,0.814282832208212,0.7375758498565486
C0002994,both,0.632147943458391,0.5952581431536237,0.3330886545275898
C0003044,head,0.9412106256350704,0.93642992714101,0.9236071446345214
C0003044,tail,0.9367106982145448,0.922135638877234,0.8784343984389968
C0003044,both,0.7252141094498475,0.6711214025510227,0.5129552882964413
C0003079,head,0.837,0.8186880506204446,0.812060592203786
C0003079,tail,0.9012,0.8880613797329584,0.8670412722128268
C0003079,both,0.6218999999999999,0.6311287748187338,0.5056622272236426
C0003123,head,0.811859857602922,0.7650653692511937,0.6526556989410505
C0003123,tail,0.8533894643589772,0.8188265773396379,0.887415895771747
C0003123,both,0.6108840394490493,0.5822080036188569,0.4061479488844569
C0003126,head,0.8741005425429034,0.8676796995203699,1.0
C0003126,tail,0.9083741743021522,0.8849055204879364,0.83977100961831
C0003126,both,0.7221885295612123,0.6820726584334875,0.5251599917330796
C0003467,head,0.8175679351899454,0.7868659186135429,0.8392976838288371
C0003467,tail,0.8617686966814383,0.835981952051177,0.9337332334882008
C0003467,both,0.6211568719110905,0.5976133352688519,0.4277235677079518
C0003486,head,0.8795504595692767,0.8615819105698503,0.9084796813225846
C0003486,tail,0.8992462857083777,0.8863785665054087,0.928395994097892
C0003486,both,0.6598256841844068,0.6300493636475057,0.4681241668455114
C0003504,head,0.842624362244898,0.8070033679697663,0.7995754173720223
C0003504,tail,0.8748086734693876,0.8457479984701797,0.933250934661421
C0003504,both,0.6175223214285714,0.6118645874467856,0.5910597645653719
C0003507,head,0.8569810655381944,0.8313439022493575,0.8666045666185573
C0003507,tail,0.8939005533854166,0.8712318835610092,0.8830035755342189
C0003507,both,0.6426255967881944,0.6230614912717781,0.5205324728331427
C0003537,head,0.829295951131647,0.7740819727131829,0.6406346335983616
C0003537,tail,0.8845641788707025,0.8545466982667945,0.8493537677470344
